,Reviews,Date,Names,Tittles
32,"
I find it very disappointing that when I'm in a collection series that there are only a few volumes available and they are not in sequence. Also there are not enough audio books available more ebooks. I enjoy audiobooks because I'm allowed to listen to them at work and reading them it at work is just not an option for me I wish there was more of a selection on audio.
","January 10, 2017",Amazon Customer,"
unnecessary on kindle fire
"
33,"
I have been trying to set this app up for 2 HOURS and I have yet to download 1 book! It constantly sends me back to ""verify my email"" I'm done!  GET IT OFF MY PHONE NOW
","September 12, 2019",DiAnna,"
If you figure out how to work it, great!
"
34,"
I've been using the website for a while now and I picked this up thinking it might streamline the process of getting books a little. I only used the app for a few minutes before determining it is just a reader and browser. I am not sure if kindle can read other book formats as I have never has a reason to find out. I have yet to find one book my library has on overdrive that they do not have the kindle version available which works great for kindle (shocking right?). The download process for kindle books through this app is exactly the same as when I use fire's browser. Also the site it takes you to for finding books is exactly the same as the one in a regular browser and it's browser is slower than the native one on the same connection. I did not use the reader at all before determining the app is unnecessary because why would I want to use a third party reader on my kindle? Also the app even complicates the process a bit by requiring an account with oveedrive or facebook to use which isn't the case if I just use the browser link I got off my librairy's website months ago. The ap isn't poorly made (based on my 10 minutes use of it) which is why I didn't give it one star, it's just useless.
","November 3, 2014",Lance,Does not work on Kindle fire
35,"
I have this on my iPhone and it works well. I thought I would see if I could get it on my Kindle Fire and it is blanking hard to work that I have given up. I can't get to the screen to where you search for library titles. It downloads the media content file to tell you about all the great things it does, but I can't get beyond that.I know the problem is me, but I just wish the interface would allow for easier navigation. My iPhone app wasn't the easiest to use either but eventually I stumbled on how to download from my local library.I will eventually figure this out but until then, its a mountain I haven't climbed yet.
","January 13, 2013",David A. Franklin,Libby by Overdrive is a necessary app on Amazon Fire Tablets
36,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Overdrive is not compatible with Kindle Fire HD
"
37,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Every time they ""improve"" it, it is always for the worst.
"
38,"
I spent over an hour drying to get overdrive on my Kindle Fire HD, but it's a no-go!  It says it is downloaded to the app library, but it's simply not there. Upon reading other reviews, I find I'm not the only one with this problem.  I love Amazon, and I spend a great deal of money using the site (and on items for my Kindle, which I LOVE), but Amazon and Kindle sure don't make it easy to get the library app installed on their device...I guess it would be less money I'd be spending in their shop, perhaps.  If using Overdrive for your computer, it works great!  I will soon be trying to get it installed on my iPod...we'll see~!
","January 29, 2013",Kindle Customer,"
Could Be Much Better
"
39,"
They used to show in the title area of the book what number it was within the series then they changed it so you had to click on the book to find out from the description and then they took that out, too.  Now, I have to go online to the author's page and find the next book in the series.  Very time consuming and annoying.
","August 17, 2016",R. Lewis,"
Once was a great App
"
40,"
Unfortunately, this app is not very user friendly. When you open it, your books that you checked out are not in your library and it takes some trial and error to find out how to get them. Eventually, I was able to get them, but I couldn't tell you how to do it, and it will be trial and error the next time as well. Please fix this! It would be best if it would just sync with the library account and automatically download checked out ebooks.
","March 29, 2016",Momof6,"
What happened?
"
41,"
I relied on this app to download books from. My e-library. But since the update it works only when it wants to....I have a kindle fire hd and it randomly works on mine....my mom has a kindle and it does work on hers but it is a pain to have to go get her kindle to borrow library books. FIX THE APP please.
","December 5, 2016",Jewelannie,"
Not very impressed, could be more user-friendly
"
42,"
I've used Overdrive over a year and loved it. Best thing to happen to library books. New application is screwy. No Kindle books appear on any of my library accounts, none, zip, zero, zilch. I could set my preference for Kindle but now ONLY ebooks show. And it is too confusing to change ebooks to Kindle available. Not happy. Don't know if it's Kindle's problem or Overdrive. Please fix it.
","December 9, 2015",MCD,"
Difficult to use
"
43,"
I had a hard time getting this to work. Downloaded on my Kindle, and even after following instructions online, I wasn't able to download audiobooks through my library's interlibrary loan system. I'm sure if I had a little more time, a librarian could help me figure it out, but I work 9-5 and was hoping for something a little more user friendly. Not impressed overall.
","July 21, 2016",AJ,"
A bit complex for an ebook reader
"
44,"
I find this app difficult to use.  I pick a book I am interested in and try to read more about it and suddenly I am switched back to the beginning.  It is difficult to set your search parameters.  Touching the screen sometimes does not result in anything happening.  I don't think it is very intuitive or easy to manage.  First of all, it took my librarian 45 minutes to get it loaded onto my Kindle Fire.  Nothing on my library website told me I needed to order an app.  Ordering library books on my Kindle should not be so complicated.  I liked the other system our library used better.
","August 28, 2013",UtahVicki,"
Wish other simpler apps were available
"
45,"
I didn't really figure out how to load books easily to the tablet with this app. I'm just using my google drive and downloading it manually. It does actually allow to read mobi format which is awesome but again it's a bit complex to import a new book or magazine.
","April 22, 2019",Ido ,"
I guess it's ok
"
46,"
Gets me into the library but is a pain in the you know what. There is NO link to a contact for support and there is nothing in HELP to address the problems I am having. I think I may have to remove the app and download again. Don't know the answer and my local library's online help person said she has never seen this before so it could be me having messed up somewhere. Have to have this app it's necessary to access the library. Be careful when you set up!
","November 7, 2014",Stiles Beachley,Does not work on Kindle fire
47,"
This plus my library was NOT user friendly and I used to work on a computer help desk. When I called my library for help, none of the young people who answered had ever used it and didn't know what to tell me. When I finally figured it out and ordered a couple of books, They erased them before I finished them and the only way you can get them back is to buy them from Amazon or go to the library and get on a waiting list for the physical book. They don't renew them. I'm a very slow reader because the only time I read is at night as a drug to put me to sleep. Very unpleasant experience.
","September 20, 2013",girluvsart,Libby by Overdrive is a necessary app on Amazon Fire Tablets
48,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Can not get kindle books at the King County Library.
"
49,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
This program will not recognize my local library
"
50,"
For years I have received kindle books from the King county Library,  Recently new books are not available on Kindle.  The library informed me that Amazon is no longer allowing the library to get e-books in the Kindle format.  After awhile I guess they will be available, but it was nice to get books when they are first released.  It is very inconvenient to always read in the browser on the library web site.  This isn't why I have a kindle.  Very disappointed.
","February 5, 2019",Shirley J. Bowe,"
Couldn't download for several days!
"
51,"
I have given this a poor rating because, although my library offers it for my laptop, it will NOT run on my Kindle Fire.  I could not get the Kindle to recognize my local library.  I even went to my local library for technical assistance.  The IT guy informed me that the only way to make the Kindle run the program would be to perform workarounds.  I was not comfortable with that option because I was unsure of his skill.  He informed me that most people can't even get it to download on the Kindle.(I did manage to get the program that far.)  I love the program on my laptop, and when the wrinkles are ironed out ( by Amazon or my local library), I would be thrilled to have it operating on my Kindle.
","March 16, 2014",Kindle Customer,"
Useless for me
"
52,"
Very hard to get the site to respond. Finally made a connection and downloaded a book. No sure if it will continue to work. will have to try again.
","January 22, 2019",Senior Shopper,"
Not working right
"
53,"
If you use a library in their system, great, but you need to have a library card handy. My local library - in fact any library anywhere close - isn't in their system, so it is useless for me.
","August 21, 2018",Wittily Writ Publishing,"
CONFUSING TO DOWNLOAD BOOK TO KINDLE FIRE
"
54,"
I'm not sure it is working right. I installed the app in order to download books from the library unto my Kindle. I found the one I wanted all right, but it never showed up on the bookshelf of the app as it told. I was able to download it via an e-mail link to the Amazon website, but I'm not sure I needed the app for this. The library has a class on using the app, but I don't have the time to visit it.
","October 7, 2015",HB,"
Complicated way to get eBooks & Audiobooks.
"
55,"
Got the app-that was pretty easy.  After that it became so confusing to download a book I never could get it done.  Still have not figured it out.  I am going to try and get to the library to get help on downloading a book to my Kindle Fire.  I will not recommend this app to anyone unless I find out it was just something I didn't understand.  Very confusing.
","July 14, 2016",Rebecca,"
Why not Cloudlibrary??
"
56,"
Looking for free reading materials for your Kindle or other reader? This software might accomplish it for you. I did not like it too much myself. There were too many steps required to get started with the first book I sought to read. Your local library has limits on titles and a backlog of requests. I spent too much time just trying to find a book that I might want to read... all the first titles and authors I could think of were not available. After struggling with time limits and waiting for pending requests I just gave up and went back to searching my Prime account for free reading material.
","October 18, 2013",JimV67,"
Not user-friendly
"
57,"
Overdrive was the only library app available on my kindle...why isn't cloudlibrary available???  This is what I use to read books from the library on my  phone.  I don't like that amazon only allows certain apps available...
","August 21, 2018",Becky82578,"
Not Thrilled
"
58,"
Hard to log on. Hard to stay logged on. Menu is not user-friendly. Hard to find materials. I don't like it. I only got it because it is available on Kindle. Was using another app that is no longer available.
","November 1, 2018",NADIA H.,Does not work on Kindle fire
59,"
Every time I try to use it I have a hard time connecting back to my book. I thought that once I had borrowed it from the library I would be able to read it without issue. Now I wonder if that is true. I thought I would have it in my Kindle until I had to return it, like a regular book from a library. I worry that Overdrive is going to make me purchase it.
","July 27, 2017",JenniferLee,Libby by Overdrive is a necessary app on Amazon Fire Tablets
60,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
I had a little trouble
"
61,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
I does work...
"
62,"
I had trouble accessing the book I borrowed. Had to call library for help. Once I got the book downloaded it was fine.
","November 14, 2019",mg79606,"
I tried rb digital which wouldn’t work on my kindle ...
"
63,"
I found the system to be clumsy and awkward to use.  Not as easy to use as Kindle books....but it did finally happen.
","January 27, 2020",themurrayman,"
Not a good first experience
"
64,"
I tried rb digital which wouldn’t work on my kindle fire —would not download/doesn’t have a hot button to download even though it says for kind fire. However overdrive does work
","June 4, 2018",JA,"
Great App
"
65,"
Harder than getting a kindle book from the Library.  Had several people try to help me load the book onto my amazon fire table.  Finally after hours we lucked onto getting overdrive to work and load the book onto my fire.
","April 18, 2019",Rita S. Padden,"
Any recommended books were on a wait list
"
66,"
I love being able to read FREE ebooks from my local library on my kindle. However, the biggest issue I have is when I read the book ""in the browser"" it is very difficult to go back a page. The swipe sometimes will skip ahead 2 pages and you are forced to need to go a page. So this will cause some frustration. I have never issues of page turning in regular kindle books. I have not tried downloading the book to read yet; the swiping/page turning might be smoother in this format, I am not sure.
","October 18, 2013",Danielle,"
OverDrive Media Console
"
67,"
It took forever to set it up. Any recommended books were on a wait list. I had to just hit or miss on picking a book. the 1st one I chose was the 3rd book in a trilogy so I decided I didn't want that. Very, very difficult to try to figure out how to return it and I still haven't figured it out. they said I chose it as an ebook and had to return it via my Amazon account on my Kindle Fire HD. Can't figure out how to do it. This was a temporary fix as my library is closed until January 17th. I won't be using this app after it opens.
","January 7, 2017",Diane Matarrese,"
It works
"
68,"
Well, I use it but I don't like it. I don't like the fact that when your 2 weeks expire you cannot just renew the e-book, you have to check it out again. Also. I cannot download Audiobooks to my Kindle Fire, they don't play well together because my Kindle is Droid based. I'm actually waiting (on hold) for an e-book now, it has been over a week and noone was waiting in front of me, don't understand what the hold up is. I went to the Library to get help, they had no clue and just handed me an info pamplet. I love reading books on my Kindle and I love getting books from the Library. When it finally does work correctly it's wonderful!
","April 9, 2013",CandC,"
I personally thought the website was a little confusing to ...
"
69,"
I love that I can get books for free! The app itself is a bit awkward to use and I still haven't figured out how to ""download"" a Kindle book and have it show up on my Kindle. The instructions it gives haven't been sufficient enough for me figure out how to make it work--it certainly wasn't seamless. I also had a hard time figuring out how to return a book without just having to let it expire. However, I was able to check out my son's book report book to use when he left his at school--that was a life saver. I would really like to rave about this app, but it has some quirks.
","May 10, 2013",Angela,"
UGH
"
70,"
I personally thought the website was a little confusing to me,  as  it took me awhile to figure out what it needed to work. I eventually got the hang of it, and didn't see much improvement over the previous version.
","August 7, 2017",Robert C.,Does not work on Kindle fire
71,"
I can read books on my computer without much interruption but for some reason although now that I have a new Kindle I can see the words many times the pages freeze or I have to restart to continue to read.  It does not make a great experience.  Any suggestions on how to make it better I would love to hear.  I really would rather be able to read on my Kindle than taking my computer with me.  Thanks
","May 6, 2016",historical fiction lover,Libby by Overdrive is a necessary app on Amazon Fire Tablets
72,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Confusing to use
"
73,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Actually, I don't get it.
"
74,"
I think it's a terrible app. I loved the idea of using my local library to borrow books but when I tried to use the app, it malfunctioned everytime. It would not allow me to read the books I had borrowed from the library on my kindle fire. I tried everything from reinstalling the app to restarting my kindle. I would not recommend this app.
","February 6, 2020",Kindle Customer,"
It didn't work
"
75,"
Could someone explain why I can access my library books through Overdrive on some devices and on others, I can see them in Libby. That said, it's great to be able to read e-books through my library. But it needs to be more user friendly.
","March 26, 2018",Shopper,"
Ok
"
76,"
I tried to borrow an ebook from my local library using this. No luck. I too k my kindle to the library and the librarian couldn't make it work either.
","October 11, 2019",Kindle Customer,"
Doesn't do what it appears to.
"
77,"
Cannot see my Wish lists, Waiting List, or books checked out, but it does allow me to check out my local library books
","August 30, 2019",middleaged,"
It works, but it's almost uselss
"
78,"
This app came up when I was looking here on Amazon for an app that would allow me to open and read epub files I obtain on my own on my Kindle Fire 1st generation.This foolish app requires that you connect with LIBRARIES to see what they have to offer.  Can't see any way to open epub files you already have on your device.I blame Amazon for doing such a poor job in providing help for owners of their Kindle Fire and other Kindle devices.I even tried to get into a ""chat"" thru amazon.com with one of their reps to ask for an app that'd do the job.  I immediately, somehow, was no longer connected to the Amazon rep.I'm guessing maybe they don't want you to be able to read your own stuff, only what you buy thru them.It's also pretty odd that you do a search here for Kindle apps, and stuff comes up that doesn't do what you're looking for, and even apps that'll work on other Android devices, but NOT on an Amazon Kindle.Do a lot of research into what this app is before you buy it.  It may not be what you're looking for.  Don't get stuck like I did.
","January 25, 2013",Niddle,"
does not work like the LIBBY app on the phone
"
79,"
This should be more of a stand-alone app that delivers book titles through the library, instead of redirecting the customer through the library portal, and then delivering titles to a 3rd party application. It's almost useless.
","May 23, 2018",Each It And I,"
Good for school
"
80,"
does not work like the LIBBY app on the phone.... will not allow for sign on that allows for sharing of Library info
","August 1, 2018",MWAS,"
Over drive is just not as user friendly as Audible ...
"
81,"
I havent used it much but I got it due to a YouTube recommendation and it works well for free audiobooks
","September 22, 2019",star,"
NOT USER FRIENDLY
"
82,"
Over drive is just not as user friendly as Audible. It's difficult to figure exactly which areas you need to go to download the book, play the book, etc. It often doesn't download correctly and you need to re-download. The only reason I give it three stars is that it's a totally free way to listen to books. They have also added a sleep timer which is helpful. I just wish they would simplify the download process, and streamline how you access the book after you download it.
","October 1, 2017",H.R. Larson,Does not work on Kindle fire
83,"
Was not user friendly. Didn't sync with my Kindle, as it stated, but I probably did something wrong. Also forced me to download some Amazon ""underground APP""???? that I'm not familiar with, in order to actually download e-books from the library. So, still no luck with actually borrowing an e-book onto my Kindle. I'm not usually this inept at utilizing apps from various sources, so if anyone has a suggestion... PLEASE enlighten me!
","June 16, 2016",Amazon Customer,Libby by Overdrive is a necessary app on Amazon Fire Tablets
84,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Not user friendly
"
